tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
66,5a_capital_return_5pct,1,0.1101,0.1207,0.0,0.0,48,0.24,80,-13431.3,49248.0,35816.7,12.0,90.0,48,0.1107,173.9
67,5a_capital_return_5pct,1,0.1114,0.1219,0.0,0.0,48,0.24,80,-13471.47,49824.0,36352.53,12.0,90.0,48,0.112,174.3
68,5a_capital_return_5pct,1,0.1126,0.1221,0.0,0.0,48,0.24,80,-13507.95,50400.0,36892.05,12.0,90.0,48,0.1132,174.7
69,5a_capital_return_5pct,1,0.1127,0.1211,0.0,0.0,48,0.24,80,-13483.33,50918.4,37435.07,12.0,90.0,48,0.1133,174.8
70,5a_capital_return_5pct,1,0.1117,0.1191,0.0,0.0,48,0.24,80,-13400.65,51379.2,37978.55,12.0,90.0,48,0.1123,174.5
71,5a_capital_return_5pct,1,0.1097,0.1161,0.0,0.0,48,0.24,80,-13262.83,51782.4,38519.57,12.0,90.0,48,0.1103,174.0
72,5a_capital_return_5pct,1,0.1067,0.1121,0.0,0.0,48,0.24,80,-13072.64,52128.0,39055.36,12.0,90.0,48,0.1073,173.3
73,5a_capital_return_5pct,1,0.1027,0.1071,0.0,0.0,48,0.24,80,-12832.71,52416.0,39583.29,12.0,90.0,48,0.1033,172.3
74,5a_capital_return_5pct,1,0.0978,0.1011,0.0,0.0,48,0.24,80,-12545.57,52646.4,40100.83,12.0,90.0,48,0.0984,171.0
75,5a_capital_return_5pct,1,0.0918,0.0941,0.0,0.0,48,0.24,80,-12213.62,52819.2,40605.58,12.0,90.0,48,0.0924,169.5
76,5a_capital_return_5pct,1,0.0849,0.0861,0.0,0.0,48,0.24,80,-11839.23,52934.4,41095.17,12.0,90.0,48,0.085,167.7
77,5a_capital_return_5pct,1,0.0765,0.0765,0.0,0.0,0,0.0,128,-11425.81,52992.0,41566.19,12.0,90.0,48,0.0765,165.7
78,5a_capital_return_5pct,1,0.0673,0.0673,0.0,0.0,0,0.0,128,-10975.4,52992.0,42016.6,12.0,90.0,13,0.0673,163.4
79,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,162.9
80,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,162.9
81,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.0
82,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.0
83,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.0
84,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.1
85,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.1
86,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.1
87,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.1
88,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.2
89,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.066,163.2
90,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0661,163.2
91,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0661,163.3
92,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0661,163.3
93,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0661,163.3
94,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0661,163.4
95,5a_capital_return_5pct,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0662,163.4
96,5a_capital_return_5pct,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0662,163.4
97,5a_capital_return_5pct,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-10857.57,52992.0,42134.43,12.0,90.0,0,0.0662,163.5
98,5a_capital_return_5pct,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0662,163.5
99,5a_capital_return_5pct,1,0.0663,0.0663,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0663,163.5
100,5a_capital_return_5pct,1,0.0663,0.0663,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0663,163.5
101,5a_capital_return_5pct,1,0.0663,0.0663,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0663,163.6
102,5a_capital_return_5pct,1,0.0664,0.0664,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0664,163.6
103,5a_capital_return_5pct,1,0.0664,0.0664,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0664,163.6
104,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0665,163.7
105,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10848.57,52992.0,42143.43,12.0,90.0,0,0.0665,163.7
106,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10839.57,52992.0,42152.43,12.0,90.0,0,0.0665,163.7
107,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10821.56,52992.0,42170.44,12.0,90.0,0,0.0666,163.6
108,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10812.56,52992.0,42179.44,12.0,90.0,0,0.0666,163.6
109,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10803.56,52992.0,42188.44,12.0,90.0,0,0.0666,163.6
110,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10794.55,52992.0,42197.45,12.0,90.0,0,0.0666,163.6
111,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10794.55,52992.0,42197.45,12.0,90.0,0,0.0666,163.6
112,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10794.55,52992.0,42197.45,12.0,90.0,0,0.0667,163.7
113,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10785.55,52992.0,42206.45,12.0,90.0,0,0.0667,163.6
114,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10776.54,52992.0,42215.46,12.0,90.0,0,0.0667,163.6
115,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10776.54,52992.0,42215.46,12.0,90.0,0,0.0668,163.7
116,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10758.54,52992.0,42233.46,12.0,90.0,0,0.0668,163.6
117,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10749.53,52992.0,42242.47,12.0,90.0,0,0.0668,163.6
118,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10749.53,52992.0,42242.47,12.0,90.0,0,0.0668,163.6
119,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10731.53,52992.0,42260.47,12.0,90.0,0,0.0668,163.6
120,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10731.53,52992.0,42260.47,12.0,90.0,0,0.0668,163.6
121,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10704.52,52992.0,42287.48,12.0,90.0,0,0.0668,163.5
122,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10686.52,52992.0,42305.48,12.0,90.0,0,0.0667,163.4
123,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10686.52,52992.0,42305.48,12.0,90.0,0,0.0668,163.5
124,5a_capital_return_5pct,1,0.0668,0.0668,0.0,0.0,0,0.0,128,-10677.52,52992.0,42314.48,12.0,90.0,0,0.0668,163.5
125,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10650.51,52992.0,42341.49,12.0,90.0,0,0.0667,163.4
126,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10650.51,52992.0,42341.49,12.0,90.0,0,0.0667,163.4
127,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10632.5,52992.0,42359.5,12.0,90.0,0,0.0666,163.3
128,5a_capital_return_5pct,1,0.0667,0.0667,0.0,0.0,0,0.0,128,-10632.5,52992.0,42359.5,12.0,90.0,0,0.0667,163.4
129,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10623.5,52992.0,42368.5,12.0,90.0,0,0.0666,163.4
130,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10623.5,52992.0,42368.5,12.0,90.0,0,0.0666,163.4
131,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10596.49,52992.0,42395.51,12.0,90.0,0,0.0665,163.3
