tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
293,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-11355.12,52992.0,41636.88,12.0,90.0
294,2_padrao,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-11337.11,52992.0,41654.89,12.0,90.0
295,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
296,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
297,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
298,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
299,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
300,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
301,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
302,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11319.11,52992.0,41672.89,12.0,90.0
303,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11301.1,52992.0,41690.9,12.0,90.0
304,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11301.1,52992.0,41690.9,12.0,90.0
305,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11301.1,52992.0,41690.9,12.0,90.0
306,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11301.1,52992.0,41690.9,12.0,90.0
307,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
308,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
309,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
310,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
311,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
312,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
313,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
314,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
315,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
316,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
317,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
318,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
319,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
320,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
321,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
322,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
323,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11292.1,52992.0,41699.9,12.0,90.0
324,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-11283.09,52992.0,41708.91,12.0,90.0
325,2_padrao,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-11265.08,52992.0,41726.92,12.0,90.0
326,2_padrao,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-11265.08,52992.0,41726.92,12.0,90.0
327,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-11265.08,52992.0,41726.92,12.0,90.0
328,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-11247.08,52992.0,41744.92,12.0,90.0
329,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11229.07,52992.0,41762.93,12.0,90.0
330,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11220.07,52992.0,41771.93,12.0,90.0
331,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11220.07,52992.0,41771.93,12.0,90.0
332,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11220.07,52992.0,41771.93,12.0,90.0
333,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11202.06,52992.0,41789.94,12.0,90.0
334,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11193.05,52992.0,41798.95,12.0,90.0
335,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11166.05,52992.0,41825.95,12.0,90.0
336,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11103.03,52992.0,41888.97,12.0,90.0
337,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11094.02,52992.0,41897.98,12.0,90.0
