tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
461,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6527.03,52992.0,59519.03,12.0,90.0,1,0.0624,171.6
462,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6535.01,52992.0,59527.01,12.0,90.0,1,0.0625,171.6
463,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6552.0,52992.0,59544.0,12.0,90.0,1,0.0625,171.6
464,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6576.18,52992.0,59568.18,12.0,90.0,1,0.0624,171.6
465,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6585.97,52992.0,59577.97,12.0,90.0,1,0.0624,171.6
466,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6599.35,52992.0,59591.35,12.0,90.0,1,0.0624,171.6
467,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6618.14,52992.0,59610.14,12.0,90.0,1,0.0624,171.6
468,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6629.73,52992.0,59621.73,12.0,90.0,1,0.0624,171.6
469,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6641.31,52992.0,59633.31,12.0,90.0,1,0.0624,171.6
470,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6658.3,52992.0,59650.3,12.0,90.0,1,0.0624,171.6
471,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6669.89,52992.0,59661.89,12.0,90.0,1,0.0624,171.6
472,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6683.28,52992.0,59675.28,12.0,90.0,1,0.0624,171.6
473,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6700.27,52992.0,59692.27,12.0,90.0,1,0.0623,171.6
474,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6708.26,52992.0,59700.26,12.0,90.0,1,0.0623,171.6
475,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6716.25,52992.0,59708.25,12.0,90.0,1,0.0624,171.6
476,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6736.84,52992.0,59728.84,12.0,90.0,1,0.0624,171.6
477,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6753.83,52992.0,59745.83,12.0,90.0,1,0.0624,171.6
478,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6765.42,52992.0,59757.42,12.0,90.0,1,0.0624,171.6
479,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6780.62,52992.0,59772.62,12.0,90.0,1,0.0624,171.6
480,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6799.41,52992.0,59791.41,12.0,90.0,1,0.0623,171.6
481,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6811.01,52992.0,59803.01,12.0,90.0,1,0.0623,171.6
482,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6824.4,52992.0,59816.4,12.0,90.0,1,0.0623,171.6
483,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6836.0,52992.0,59828.0,12.0,90.0,1,0.0623,171.6
484,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6853.0,52992.0,59845.0,12.0,90.0,1,0.0623,171.6
485,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6866.39,52992.0,59858.39,12.0,90.0,1,0.0623,171.6
486,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6881.59,52992.0,59873.59,12.0,90.0,1,0.0623,171.6
487,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6889.59,52992.0,59881.59,12.0,90.0,1,0.0623,171.6
488,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6895.79,52992.0,59887.79,12.0,90.0,1,0.0623,171.7
489,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6918.19,52992.0,59910.19,12.0,90.0,1,0.0623,171.6
490,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6929.79,52992.0,59921.79,12.0,90.0,1,0.0623,171.6
491,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6948.6,52992.0,59940.6,12.0,90.0,1,0.0623,171.6
492,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6963.8,52992.0,59955.8,12.0,90.0,1,0.0623,171.6
493,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6980.8,52992.0,59972.8,12.0,90.0,1,0.0623,171.6
494,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,6992.41,52992.0,59984.41,12.0,90.0,1,0.0623,171.6
495,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,7005.81,52992.0,59997.81,12.0,90.0,1,0.0623,171.6
496,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,7015.62,52992.0,60007.62,12.0,90.0,1,0.0623,171.6
497,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,7034.43,52992.0,60026.43,12.0,90.0,1,0.0622,171.6
498,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,7049.64,52992.0,60041.64,12.0,90.0,1,0.0622,171.6
499,5b_capital_return_1pct,1,0.0621,0.0621,0.0,0.0,0,0.0,128,7061.24,52992.0,60053.24,12.0,90.0,1,0.0622,171.6
