tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
411,3b_corte_gradual,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10704.17,39398.4,28694.23,12.0,90.0
412,3b_corte_gradual,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10695.17,39398.4,28703.23,12.0,90.0
413,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10695.17,39398.4,28703.23,12.0,90.0
414,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10695.17,39398.4,28703.23,12.0,90.0
415,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10695.17,39398.4,28703.23,12.0,90.0
416,3b_corte_gradual,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10677.16,39398.4,28721.24,12.0,90.0
417,3b_corte_gradual,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10677.16,39398.4,28721.24,12.0,90.0
418,3b_corte_gradual,1,0.065,0.065,0.0,0.0,0,0.0,128,-10650.15,39398.4,28748.25,12.0,90.0
419,3b_corte_gradual,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10641.14,39398.4,28757.26,12.0,90.0
420,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10632.14,39398.4,28766.26,12.0,90.0
421,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10614.13,39398.4,28784.27,12.0,90.0
422,3b_corte_gradual,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-10605.13,39398.4,28793.27,12.0,90.0
423,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10551.1,39398.4,28847.3,12.0,90.0
424,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10524.09,39398.4,28874.31,12.0,90.0
425,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10515.09,39398.4,28883.31,12.0,90.0
426,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10506.09,39398.4,28892.31,12.0,90.0
427,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10488.08,39398.4,28910.32,12.0,90.0
428,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10488.08,39398.4,28910.32,12.0,90.0
429,3b_corte_gradual,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10470.07,39398.4,28928.33,12.0,90.0
430,3b_corte_gradual,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10443.06,39398.4,28955.34,12.0,90.0
431,3b_corte_gradual,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10434.06,39398.4,28964.34,12.0,90.0
432,3b_corte_gradual,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10425.06,39398.4,28973.34,12.0,90.0
433,3b_corte_gradual,1,0.065,0.065,0.0,0.0,0,0.0,128,-10416.05,39398.4,28982.35,12.0,90.0
434,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10371.03,39398.4,29027.37,12.0,90.0
435,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10353.02,39398.4,29045.38,12.0,90.0
436,3b_corte_gradual,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10335.02,39398.4,29063.38,12.0,90.0
437,3b_corte_gradual,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10317.01,39398.4,29081.39,12.0,90.0
438,3b_corte_gradual,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10308.0,39398.4,29090.4,12.0,90.0
